venue,year,identifier,comment
CHI,,conf/chi/chi1982
CHI,,conf/chi/chi1983
CHI,,conf/chi/chi1985
CHI,,conf/chi/chi1986
CHI,,conf/chi/chi1987
CHI,,conf/chi/chi1988
CHI,,conf/chi/chi1989
CHI,,conf/chi/chi1990
CHI,,conf/chi/chi1991
CHI,,conf/chi/chi92
CHI,,conf/chi/chi1993
CHI,,conf/chi/chi1994
CHI,,conf/chi/chi95
CHI,,conf/chi/chi96
CHI,,conf/chi/chi97
CHI,,conf/chi/chi98
CHI,,conf/chi/chi99
CHI,,conf/chi/chi2000
CHI,,conf/chi/chi2001
CHI,,conf/chi/chi2002
CHI,,conf/chi/chi2003
CHI,,conf/chi/chi2004
CHI,,conf/chi/chi2005
CHI,,conf/chi/chi2006
CHI,,conf/chi/chi2007
CHI,,conf/chi/chi2008
CHI,,conf/chi/chi2009
CHI,,conf/chi/chi2010
CHI,,conf/chi/chi2011
CHI,,conf/chi/chi2012
CHI,,conf/chi/chi2013
CHI,,conf/chi/chi2014
CHI,,conf/chi/chi2015
CHI,,conf/chi/chi2016
CHI,,conf/chi/chi2017
CHI,,conf/chi/chi2018
CHI,,conf/chi/chi2019
CHI,,conf/chi/chi2020
UIST,,conf/uist/uist1988
UIST,,conf/uist/uist1989
UIST,,conf/uist/uist1990
UIST,,conf/uist/uist1991
UIST,,conf/uist/uist1992
UIST,,conf/uist/uist1993
UIST,,conf/uist/uist1994
UIST,,conf/uist/uist1995
UIST,,conf/uist/uist1996
UIST,,conf/uist/uist1997
UIST,,conf/uist/uist1998
UIST,,conf/uist/uist1999
UIST,,conf/uist/uist2000
UIST,,conf/uist/uist2001
UIST,,conf/uist/uist2002
UIST,,conf/uist/uist2003
UIST,,conf/uist/uist2004
UIST,,conf/uist/uist2005
UIST,,conf/uist/uist2006
UIST,,conf/uist/uist2007
UIST,,conf/uist/uist2008
UIST,,conf/uist/uist2009
UIST,,conf/uist/uist2010
UIST,,conf/uist/uist2011
UIST,,conf/uist/uist2012
UIST,,conf/uist/uist2013
UIST,,conf/uist/uist2014
UIST,,conf/uist/uist2015
UIST,,conf/uist/uist2016
UIST,,conf/uist/uist2017
UIST,,conf/uist/uist2018
UIST,,conf/uist/uist2019
UIST,,conf/uist/uist2020
UbiComp,,conf/huc/huc1999
UbiComp,,conf/huc/huc2000
UbiComp,,conf/huc/ubicomp2001
UbiComp,,conf/huc/ubicomp2002
UbiComp,,conf/huc/ubicomp2003
UbiComp,,conf/huc/ubicomp2004
UbiComp,,conf/huc/ubicomp2005
UbiComp,,conf/huc/ubicomp2006
UbiComp,,conf/huc/ubicomp2007
UbiComp,,conf/huc/ubicomp2008
UbiComp,,conf/huc/ubicomp2009
UbiComp,,conf/huc/ubicomp2010
UbiComp,,conf/huc/ubicomp2011
UbiComp,,conf/huc/ubicomp2012
UbiComp,,conf/huc/ubicomp2013
UbiComp,,conf/huc/ubicomp2014
UbiComp,,conf/huc/ubicomp2015
UbiComp,,conf/huc/ubicomp2016
UbiComp,,conf/huc/ubicomp2017
UbiComp,,conf/huc/ubicomp2018
UbiComp,,conf/huc/ubicomp2019
UbiComp,,conf/iswc/iswc2020,Was published in Sept20
Pervasive,,conf/pervasive/pervasive2002
Pervasive,,conf/pervasive/pervasive2004
Pervasive,,conf/pervasive/pervasive2005
Pervasive,,conf/pervasive/pervasive2006
Pervasive,,conf/pervasive/pervasive2007
Pervasive,,conf/pervasive/pervasive2008
Pervasive,,conf/pervasive/pervasive2009
Pervasive,,conf/pervasive/pervasive2010
Pervasive,,conf/pervasive/pervasive2011
Pervasive,,conf/pervasive/pervasive2012
IMWUT,,journals/imwut/imwut1
IMWUT,,journals/imwut/imwut2
IMWUT,,journals/imwut/imwut3
IMWUT,,journals/imwut/imwut4
